
! GZINV3D started on: 11/13/2018  01:45:47

!    1  1.0000   !! mode, chifact
!   2.9439E-01   !! initial norm S
!   0.0000E+00   !! initial norm E
!   0.0000E+00   !! initial norm N
!   1.4888E-04   !! initial norm Z
!   2.9454E-01   !! initial norm total
!   2.6436E+09   !! initial misfit
!   4.0960E+03   !! target data misfit
!  1.000E-04  1.00      1.00      1.00       !! alpha values

! iter          beta   data misfit        norm S        norm E        norm N        norm Z    model norm  total objective  CG iterations  truncated cells
     1  3.257292E+03  1.634279E+09  1.251103E+05  1.540143E+00  1.481395E+00  2.251145E+00  1.251156E+05    2.041817E+09             3             0
     2  1.628646E+03  1.215500E+09  3.110991E+05  4.586229E+00  4.443907E+00  6.186181E+00  3.111143E+05    1.722196E+09             4             0
     3  8.143231E+02  8.168469E+08  6.611601E+05  1.214260E+01  1.189808E+01  1.496084E+01  6.611991E+05    1.355277E+09             5             0
     4  4.071616E+02  4.991943E+08  1.214304E+06  2.868317E+01  2.840747E+01  3.218064E+01  1.214393E+06    9.936486E+08             6             0
     5  2.035808E+02  2.731791E+08  1.997439E+06  6.004938E+01  5.991452E+01  6.218011E+01  1.997621E+06    6.798563E+08             7             0
     6  1.017904E+02  1.285379E+08  2.991587E+06  1.084461E+02  1.086073E+02  1.059961E+02  2.991910E+06    4.330856E+08             8             0
     7  5.089519E+01  5.102844E+07  4.044089E+06  1.666007E+02  1.670329E+02  1.564747E+02  4.044579E+06    2.568781E+08            10             0
     8  2.544760E+01  1.745603E+07  4.945180E+06  2.217645E+02  2.222632E+02  2.023593E+02  4.945826E+06    1.433154E+08            12             0
     9  1.272380E+01  5.358028E+06  5.588892E+06  2.651568E+02  2.655097E+02  2.368198E+02  5.589660E+06    7.647973E+07            15             0
    10  6.361899E+00  1.539850E+06  5.992840E+06  2.950583E+02  2.953422E+02  2.594894E+02  5.993690E+06    3.967110E+07            18             0
    11  3.180950E+00  4.328803E+05  6.226266E+06  3.143866E+02  3.146491E+02  2.734642E+02  6.227169E+06    2.024119E+07            25             0
    12  1.590475E+00  1.262955E+05  6.355374E+06  3.269579E+02  3.272471E+02  2.823604E+02  6.356311E+06    1.023585E+07            34             0
    13  7.952374E-01  4.224124E+04  6.426215E+06  3.355910E+02  3.358665E+02  2.893098E+02  6.427176E+06    5.153372E+06            47             0
    14  3.976187E-01  1.818282E+04  6.466969E+06  3.420001E+02  3.422538E+02  2.976947E+02  6.467951E+06    2.589961E+06            73             0
    15  1.988094E-01  1.020462E+04  6.494319E+06  3.479297E+02  3.481874E+02  3.124773E+02  6.495328E+06    1.301537E+06           105             0
    16  9.940468E-02  6.820184E+03  6.517832E+06  3.562814E+02  3.565268E+02  3.430262E+02  6.518888E+06    6.548282E+05           161             0
    17  5.671452E-02  5.280519E+03  6.538133E+06  3.686911E+02  3.687804E+02  3.910712E+02  6.539261E+06    3.761516E+05           218             0
    18  4.179278E-02  4.653667E+03  6.550941E+06  3.794302E+02  3.793598E+02  4.318746E+02  6.552132E+06    2.784855E+05           267             0
    19  3.343422E-02  4.252103E+03  6.561627E+06  3.899036E+02  3.896856E+02  4.704965E+02  6.562877E+06    2.236768E+05           318             0

! GZINV3D ended on: 11/13/2018  01:46:02

